,name,album,release_date,track_number,id,uri
366,I Know Places,1989 (Deluxe Edition),27/10/2014,12,2zfgVd034GlUvk7LqBHl6u,spotify:track:2zfgVd034GlUvk7LqBHl6u
367,Clean,1989 (Deluxe Edition),27/10/2014,13,4bXCcoesMt8u99xMsbLr9U,spotify:track:4bXCcoesMt8u99xMsbLr9U
368,Wonderland,1989 (Deluxe Edition),27/10/2014,14,6iWMI5oOhWrDbLbjmwTWFq,spotify:track:6iWMI5oOhWrDbLbjmwTWFq
369,You Are In Love,1989 (Deluxe Edition),27/10/2014,15,4A2LfnduSTsE8u0ecYROxE,spotify:track:4A2LfnduSTsE8u0ecYROxE
370,New Romantics,1989 (Deluxe Edition),27/10/2014,16,6rZVy6FIG7lSJQMFXHo12z,spotify:track:6rZVy6FIG7lSJQMFXHo12z
371,I Know Places - Voice Memo,1989 (Deluxe Edition),27/10/2014,17,4JQm7ebhsrt10wmrP6AfXL,spotify:track:4JQm7ebhsrt10wmrP6AfXL
372,I Wish You Would - Voice Memo,1989 (Deluxe Edition),27/10/2014,18,4TtyvyI42C0KFnbDZvNC8Y,spotify:track:4TtyvyI42C0KFnbDZvNC8Y
373,Blank Space - Voice Memo,1989 (Deluxe Edition),27/10/2014,19,0yisH8r0f3Mkq34kjzUlCV,spotify:track:0yisH8r0f3Mkq34kjzUlCV
374,Welcome To New York,1989,27/10/2014,1,6qnM0XXPZOINWA778uNqQ9,spotify:track:6qnM0XXPZOINWA778uNqQ9
375,Blank Space,1989,27/10/2014,2,1p80LdxRV74UKvL8gnD7ky,spotify:track:1p80LdxRV74UKvL8gnD7ky
376,Style,1989,27/10/2014,3,4lIxdJw6W3Fg4vUIYCB0S5,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5
377,Out Of The Woods,1989,27/10/2014,4,5OndtwLGA9O6XHFcGm2H7r,spotify:track:5OndtwLGA9O6XHFcGm2H7r
378,All You Had To Do Was Stay,1989,27/10/2014,5,0dAb8TY433dl3ZfXYCLE19,spotify:track:0dAb8TY433dl3ZfXYCLE19
379,Shake It Off,1989,27/10/2014,6,5xTtaWoae3wi06K5WfVUUH,spotify:track:5xTtaWoae3wi06K5WfVUUH
380,I Wish You Would,1989,27/10/2014,7,3wmN11qXGL0HyPojvEE1D9,spotify:track:3wmN11qXGL0HyPojvEE1D9
381,Bad Blood,1989,27/10/2014,8,273dCMFseLcVsoSWx59IoE,spotify:track:273dCMFseLcVsoSWx59IoE
382,Wildest Dreams,1989,27/10/2014,9,59HjlYCeBsxdI0fcm3zglw,spotify:track:59HjlYCeBsxdI0fcm3zglw
383,How You Get The Girl,1989,27/10/2014,10,4dYUOfmWna6DFccnz732n8,spotify:track:4dYUOfmWna6DFccnz732n8
384,This Love,1989,27/10/2014,11,3oKMl2tJv4fdidkXUYMI5x,spotify:track:3oKMl2tJv4fdidkXUYMI5x
385,I Know Places,1989,27/10/2014,12,3jBMHD19RZdAqG9iFQh7xc,spotify:track:3jBMHD19RZdAqG9iFQh7xc
386,Clean,1989,27/10/2014,13,06WgOCf0LV2h4keYXDRnuh,spotify:track:06WgOCf0LV2h4keYXDRnuh
387,State Of Grace,Red (Deluxe Edition),22/10/2012,1,5zyCYmiaVE5y26EZuwZbsw,spotify:track:5zyCYmiaVE5y26EZuwZbsw
388,Red,Red (Deluxe Edition),22/10/2012,2,1RvQQGwaPipiNgz8RXAKA8,spotify:track:1RvQQGwaPipiNgz8RXAKA8
389,Treacherous,Red (Deluxe Edition),22/10/2012,3,0XfOV7qY3834QpFVwOb6CC,spotify:track:0XfOV7qY3834QpFVwOb6CC
390,I Knew You Were Trouble.,Red (Deluxe Edition),22/10/2012,4,0ciHz919LVKoH4zgxyMPZ9,spotify:track:0ciHz919LVKoH4zgxyMPZ9
391,All Too Well,Red (Deluxe Edition),22/10/2012,5,1q3RiD1tIWUpGsNFADMlvl,spotify:track:1q3RiD1tIWUpGsNFADMlvl
392,22,Red (Deluxe Edition),22/10/2012,6,3bIxTsfeNMO7Nt2J3EUKrA,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA
393,I Almost Do,Red (Deluxe Edition),22/10/2012,7,31pEV5lPJi7btskZoUr2yu,spotify:track:31pEV5lPJi7btskZoUr2yu
394,We Are Never Ever Getting Back Together,Red (Deluxe Edition),22/10/2012,8,1OYARuagDrpgNNQ4loO1Cs,spotify:track:1OYARuagDrpgNNQ4loO1Cs
395,Stay Stay Stay,Red (Deluxe Edition),22/10/2012,9,1x0J8LFX23d5h1zzuzZorc,spotify:track:1x0J8LFX23d5h1zzuzZorc
396,The Last Time,Red (Deluxe Edition),22/10/2012,10,7vvIpJZye5cRR6De1LKM0m,spotify:track:7vvIpJZye5cRR6De1LKM0m
397,Holy Ground,Red (Deluxe Edition),22/10/2012,11,5d2Kn9oAAh9S2EbyCo1i52,spotify:track:5d2Kn9oAAh9S2EbyCo1i52
398,Sad Beautiful Tragic,Red (Deluxe Edition),22/10/2012,12,5QKhg4r4Ibt0LVTmWEXTEg,spotify:track:5QKhg4r4Ibt0LVTmWEXTEg
399,The Lucky One,Red (Deluxe Edition),22/10/2012,13,2wtHlpYSgC7xEdD3DrSHNL,spotify:track:2wtHlpYSgC7xEdD3DrSHNL
400,Everything Has Changed,Red (Deluxe Edition),22/10/2012,14,7gdwoOmi258QJq0hmQ4hto,spotify:track:7gdwoOmi258QJq0hmQ4hto
401,Starlight,Red (Deluxe Edition),22/10/2012,15,0vqI4ZIMuifeKeItGiWbPj,spotify:track:0vqI4ZIMuifeKeItGiWbPj
402,Begin Again,Red (Deluxe Edition),22/10/2012,16,48A0aShHlovDfTMucMrE66,spotify:track:48A0aShHlovDfTMucMrE66
403,The Moment I Knew,Red (Deluxe Edition),22/10/2012,17,5AsmAjBSSQjRPWgAYIp8tm,spotify:track:5AsmAjBSSQjRPWgAYIp8tm
404,Come Back...Be Here,Red (Deluxe Edition),22/10/2012,18,4qyalTRMRH5YuEntvvMvq0,spotify:track:4qyalTRMRH5YuEntvvMvq0
405,Girl At Home,Red (Deluxe Edition),22/10/2012,19,6cf6rLb8qcklvJv90W6HCW,spotify:track:6cf6rLb8qcklvJv90W6HCW
406,Treacherous - Original Demo Recording,Red (Deluxe Edition),22/10/2012,20,7BT9K9BDqq6HI2oWH5UMZQ,spotify:track:7BT9K9BDqq6HI2oWH5UMZQ
407,Red - Original Demo Recording,Red (Deluxe Edition),22/10/2012,21,4mqgn90sCeVSYqcoftTQTd,spotify:track:4mqgn90sCeVSYqcoftTQTd
408,State Of Grace - Acoustic,Red (Deluxe Edition),22/10/2012,22,5G9AVKld9q7DCrmoY42raf,spotify:track:5G9AVKld9q7DCrmoY42raf
409,State Of Grace,Red,22/10/2012,1,786NsUYn4GGUf8AOt0SQhP,spotify:track:786NsUYn4GGUf8AOt0SQhP
410,Red,Red,22/10/2012,2,0cITLOYn1Sv4q27zZPqlNK,spotify:track:0cITLOYn1Sv4q27zZPqlNK
411,Treacherous,Red,22/10/2012,3,5kYFVSQoPu7yRpfiHBwMUk,spotify:track:5kYFVSQoPu7yRpfiHBwMUk
412,I Knew You Were Trouble.,Red,22/10/2012,4,72jCZdH0Lhg93z6Z4hBjgj,spotify:track:72jCZdH0Lhg93z6Z4hBjgj
413,All Too Well,Red,22/10/2012,5,4XMP3zVxrnr58T0tjIHvpR,spotify:track:4XMP3zVxrnr58T0tjIHvpR
414,22,Red,22/10/2012,6,2ULNeSomDxVNmdDy8VxEBU,spotify:track:2ULNeSomDxVNmdDy8VxEBU
415,I Almost Do,Red,22/10/2012,7,5VwFkx7JOimOGTYfha5rs1,spotify:track:5VwFkx7JOimOGTYfha5rs1
416,We Are Never Ever Getting Back Together,Red,22/10/2012,8,7AEAGTc8cReDqcbPoY9gwo,spotify:track:7AEAGTc8cReDqcbPoY9gwo
417,Stay Stay Stay,Red,22/10/2012,9,1qLeEu4iXEclkLwoBlMiou,spotify:track:1qLeEu4iXEclkLwoBlMiou
418,The Last Time,Red,22/10/2012,10,3n9mzjgAzjyKawvbHzciXF,spotify:track:3n9mzjgAzjyKawvbHzciXF
419,Holy Ground,Red,22/10/2012,11,1fGsZsIkQkOspfsT24nQP6,spotify:track:1fGsZsIkQkOspfsT24nQP6
420,Sad Beautiful Tragic,Red,22/10/2012,12,6LKjHhOW1az75pCQ9XJJtF,spotify:track:6LKjHhOW1az75pCQ9XJJtF
421,The Lucky One,Red,22/10/2012,13,2X2J0BhxaLTmnxO4pPUhSd,spotify:track:2X2J0BhxaLTmnxO4pPUhSd
422,Everything Has Changed,Red,22/10/2012,14,4NAmRvqSITAAzKWnC8yRq3,spotify:track:4NAmRvqSITAAzKWnC8yRq3
423,Starlight,Red,22/10/2012,15,7MecVsMj22MneZt7kVFaCr,spotify:track:7MecVsMj22MneZt7kVFaCr
424,Begin Again,Red,22/10/2012,16,0L4YCNRfXAoTvdpWeH2RGj,spotify:track:0L4YCNRfXAoTvdpWeH2RGj
425,Sparks Fly - Live/2011,Speak Now World Tour Live,25/10/2010,1,1aBJNc2thaKyh5THWzIqHX,spotify:track:1aBJNc2thaKyh5THWzIqHX
426,Mine - Live/2011,Speak Now World Tour Live,25/10/2010,2,7yndkPYP6YQQLBpPsizDfh,spotify:track:7yndkPYP6YQQLBpPsizDfh
427,The Story Of Us - Live,Speak Now World Tour Live,25/10/2010,3,72GIZuUXo14oyrS0si3Rgc,spotify:track:72GIZuUXo14oyrS0si3Rgc
428,Mean - Live/2011,Speak Now World Tour Live,25/10/2010,4,7mFiEij8AXPUZB7aKLbUlQ,spotify:track:7mFiEij8AXPUZB7aKLbUlQ
429,Ours - Live/2011,Speak Now World Tour Live,25/10/2010,5,68QyrSzpnoU04AAhE5z8lj,spotify:track:68QyrSzpnoU04AAhE5z8lj
430,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,Speak Now World Tour Live,25/10/2010,6,1IsquhJFJ0qcFZI7FeAEuN,spotify:track:1IsquhJFJ0qcFZI7FeAEuN
431,Better Than Revenge - Live/2011,Speak Now World Tour Live,25/10/2010,7,6505MLhnqTDDg4tjoUz2Wp,spotify:track:6505MLhnqTDDg4tjoUz2Wp
432,Speak Now - Live/2011,Speak Now World Tour Live,25/10/2010,8,3QFB14MOUf3imlyISNmrbT,spotify:track:3QFB14MOUf3imlyISNmrbT
433,Last Kiss - Live/2011,Speak Now World Tour Live,25/10/2010,9,6hH37tyeRdyan1mAppmVor,spotify:track:6hH37tyeRdyan1mAppmVor
434,Drops Of Jupiter - Live/2011,Speak Now World Tour Live,25/10/2010,10,0BSmbCIY36iw04azzJ3S0S,spotify:track:0BSmbCIY36iw04azzJ3S0S
435,Bette Davis Eyes - Live/2011,Speak Now World Tour Live,25/10/2010,11,6KF9xd2hBLuexrmBX4vUWD,spotify:track:6KF9xd2hBLuexrmBX4vUWD
436,I Want You Back - Live/2011,Speak Now World Tour Live,25/10/2010,12,4KB3zBArZ1rHRExilzycaV,spotify:track:4KB3zBArZ1rHRExilzycaV
437,Dear John - Live/2011,Speak Now World Tour Live,25/10/2010,13,4DbI1rr4IQ2bc8nejy9ttd,spotify:track:4DbI1rr4IQ2bc8nejy9ttd
438,Enchanted - Live/2011,Speak Now World Tour Live,25/10/2010,14,3lm4L3pPL32PFy74dR17OR,spotify:track:3lm4L3pPL32PFy74dR17OR
439,Haunted - Live/2011,Speak Now World Tour Live,25/10/2010,15,6znB7YZhMJT2B83zfbiyLq,spotify:track:6znB7YZhMJT2B83zfbiyLq
440,Long Live - Live/2011,Speak Now World Tour Live,25/10/2010,16,5QkzyLUb4ggojNDp8G2OxX,spotify:track:5QkzyLUb4ggojNDp8G2OxX
441,Mine,Speak Now (Deluxe Edition),25/10/2010,1,6LZaxlycSWrJZ4Volb25qx,spotify:track:6LZaxlycSWrJZ4Volb25qx
442,Sparks Fly,Speak Now (Deluxe Edition),25/10/2010,2,1q8E1FfFuhd12c5JcJwPxQ,spotify:track:1q8E1FfFuhd12c5JcJwPxQ
443,Back To December,Speak Now (Deluxe Edition),25/10/2010,3,7lxADouiWFkwR7ZV2GKUcH,spotify:track:7lxADouiWFkwR7ZV2GKUcH
444,Speak Now,Speak Now (Deluxe Edition),25/10/2010,4,1nYWTzy5zu3zEPNgB1sItW,spotify:track:1nYWTzy5zu3zEPNgB1sItW
445,Dear John,Speak Now (Deluxe Edition),25/10/2010,5,1ubvV5ECkm6nSI6g1HmbBK,spotify:track:1ubvV5ECkm6nSI6g1HmbBK
446,Mean,Speak Now (Deluxe Edition),25/10/2010,6,4N60XfcTE1ysLZGbYgnYXq,spotify:track:4N60XfcTE1ysLZGbYgnYXq
447,The Story Of Us,Speak Now (Deluxe Edition),25/10/2010,7,19tHCfzUSoy5HkpxcmbA0A,spotify:track:19tHCfzUSoy5HkpxcmbA0A
448,Never Grow Up,Speak Now (Deluxe Edition),25/10/2010,8,74WBGgUnpKrJXt6TETfR6Z,spotify:track:74WBGgUnpKrJXt6TETfR6Z
449,Enchanted,Speak Now (Deluxe Edition),25/10/2010,9,14LtANuaslKWyYbktUrHBU,spotify:track:14LtANuaslKWyYbktUrHBU
450,Better Than Revenge,Speak Now (Deluxe Edition),25/10/2010,10,1By2VQkUN0Frd8mKNV5NYC,spotify:track:1By2VQkUN0Frd8mKNV5NYC
451,Innocent,Speak Now (Deluxe Edition),25/10/2010,11,3kfgJql90tzgoxByioAMXR,spotify:track:3kfgJql90tzgoxByioAMXR
452,Haunted,Speak Now (Deluxe Edition),25/10/2010,12,11UaQaEp2LvdspTyyuE3ur,spotify:track:11UaQaEp2LvdspTyyuE3ur
453,Last Kiss,Speak Now (Deluxe Edition),25/10/2010,13,1D27z8xNzjW0Mwwt1NCWhJ,spotify:track:1D27z8xNzjW0Mwwt1NCWhJ
454,Long Live,Speak Now (Deluxe Edition),25/10/2010,14,7DjCRhhFo9PPzca1BjMLcf,spotify:track:7DjCRhhFo9PPzca1BjMLcf
455,Ours,Speak Now (Deluxe Edition),25/10/2010,15,1EQn3Uc5AyUXoiPLeyCrrg,spotify:track:1EQn3Uc5AyUXoiPLeyCrrg
456,If This Was A Movie,Speak Now (Deluxe Edition),25/10/2010,16,0vvt4IZOMkRug195S4MUq0,spotify:track:0vvt4IZOMkRug195S4MUq0
457,Superman,Speak Now (Deluxe Edition),25/10/2010,17,2R7C9dDqv1UPycvepBFziA,spotify:track:2R7C9dDqv1UPycvepBFziA
458,Back To December - Acoustic,Speak Now (Deluxe Edition),25/10/2010,18,6IH2Z54gYPLqgJtxZjX80i,spotify:track:6IH2Z54gYPLqgJtxZjX80i
459,Haunted - Acoustic Version,Speak Now (Deluxe Edition),25/10/2010,19,62rlxI6g2PNaWsHoiRryto,spotify:track:62rlxI6g2PNaWsHoiRryto
460,Mine - POP Mix,Speak Now (Deluxe Edition),25/10/2010,20,0fAbfDiuQiUwV7FUcFfRGY,spotify:track:0fAbfDiuQiUwV7FUcFfRGY
461,Mine,Speak Now,25/10/2010,1,0dBW6ZsW8skfvoRfgeerBF,spotify:track:0dBW6ZsW8skfvoRfgeerBF
462,Sparks Fly,Speak Now,25/10/2010,2,6d9IiDcFxtFVIvt9pCqyGH,spotify:track:6d9IiDcFxtFVIvt9pCqyGH
463,Back To December,Speak Now,25/10/2010,3,3DrjZArsPsoqbLzUZZV1Id,spotify:track:3DrjZArsPsoqbLzUZZV1Id
464,Speak Now,Speak Now,25/10/2010,4,24DefNCFiWTP8OjYWiXuYe,spotify:track:24DefNCFiWTP8OjYWiXuYe
465,Dear John,Speak Now,25/10/2010,5,7hZuICN5eaCuQyp443RCt6,spotify:track:7hZuICN5eaCuQyp443RCt6
466,Mean,Speak Now,25/10/2010,6,5yEPktRqvIhko5QFF3aBhQ,spotify:track:5yEPktRqvIhko5QFF3aBhQ
467,The Story Of Us,Speak Now,25/10/2010,7,3RBluWmSoG2pGA1OePzGJI,spotify:track:3RBluWmSoG2pGA1OePzGJI
468,Never Grow Up,Speak Now,25/10/2010,8,1wJL1A0QUHJPf2cm7tsrdw,spotify:track:1wJL1A0QUHJPf2cm7tsrdw
469,Enchanted,Speak Now,25/10/2010,9,10eBRyImhfqVvkiVEGf0N0,spotify:track:10eBRyImhfqVvkiVEGf0N0
470,Better Than Revenge,Speak Now,25/10/2010,10,2ythurkTtSiyfK7GprJoFW,spotify:track:2ythurkTtSiyfK7GprJoFW
471,Innocent,Speak Now,25/10/2010,11,5GPwN5iZ9ZMSXAkppj4Uvv,spotify:track:5GPwN5iZ9ZMSXAkppj4Uvv
472,Haunted,Speak Now,25/10/2010,12,28M2gifMU282QBM3fKajIS,spotify:track:28M2gifMU282QBM3fKajIS
473,Last Kiss,Speak Now,25/10/2010,13,4h0EXpatqJImv4VRgvX6po,spotify:track:4h0EXpatqJImv4VRgvX6po
474,Long Live,Speak Now,25/10/2010,14,6XDBA3QWX51lDJ0oZbaJJN,spotify:track:6XDBA3QWX51lDJ0oZbaJJN
475,Jump Then Fall,Fearless Platinum Edition,11/11/2008,1,08gavXombT6KR0af88i9tA,spotify:track:08gavXombT6KR0af88i9tA
476,Untouchable,Fearless Platinum Edition,11/11/2008,2,2IZ00ed83ygPIiacYScWUE,spotify:track:2IZ00ed83ygPIiacYScWUE
477,Forever & Always - Piano Version,Fearless Platinum Edition,11/11/2008,3,46HGgtwmmuEB8mvDCyjyAc,spotify:track:46HGgtwmmuEB8mvDCyjyAc
478,Come In With The Rain,Fearless Platinum Edition,11/11/2008,4,4pl5zcqCv4vc3cB7M4MZ6f,spotify:track:4pl5zcqCv4vc3cB7M4MZ6f
479,SuperStar,Fearless Platinum Edition,11/11/2008,5,14Bljc3pOOG0xQX3wqhLN9,spotify:track:14Bljc3pOOG0xQX3wqhLN9
480,The Other Side Of The Door,Fearless Platinum Edition,11/11/2008,6,0xvsgzM8AtBtRHZm5rav8A,spotify:track:0xvsgzM8AtBtRHZm5rav8A
481,Fearless,Fearless Platinum Edition,11/11/2008,7,3F6czr26ZwGU5O5CHY04Ma,spotify:track:3F6czr26ZwGU5O5CHY04Ma
482,Fifteen,Fearless Platinum Edition,11/11/2008,8,3M0w3fhdXByHLCNAoi5c9G,spotify:track:3M0w3fhdXByHLCNAoi5c9G
483,Love Story,Fearless Platinum Edition,11/11/2008,9,0kN3oXYWWAk1uC0y2WoyOE,spotify:track:0kN3oXYWWAk1uC0y2WoyOE
484,Hey Stephen,Fearless Platinum Edition,11/11/2008,10,6wcFdMmiDscAhZJrcVFumx,spotify:track:6wcFdMmiDscAhZJrcVFumx
485,White Horse,Fearless Platinum Edition,11/11/2008,11,4jPtq9shRdUv8Zjr0a5xkD,spotify:track:4jPtq9shRdUv8Zjr0a5xkD
486,You Belong With Me,Fearless Platinum Edition,11/11/2008,12,3as6Wz3mwbTnusWhZjTUNr,spotify:track:3as6Wz3mwbTnusWhZjTUNr
487,Breathe,Fearless Platinum Edition,11/11/2008,13,6S9G7J3EB1ZY0rrZPwsBg5,spotify:track:6S9G7J3EB1ZY0rrZPwsBg5
488,Tell Me Why,Fearless Platinum Edition,11/11/2008,14,4XrP7vKBjKLEYlRZdb0Ygr,spotify:track:4XrP7vKBjKLEYlRZdb0Ygr
489,You're Not Sorry,Fearless Platinum Edition,11/11/2008,15,6HWYtS215rxaaMjvpyG18W,spotify:track:6HWYtS215rxaaMjvpyG18W
490,The Way I Loved You,Fearless Platinum Edition,11/11/2008,16,77VotUUL79U10TAnYdqwvr,spotify:track:77VotUUL79U10TAnYdqwvr
491,Forever & Always,Fearless Platinum Edition,11/11/2008,17,1zxrcAk6eiytfavqriMcKT,spotify:track:1zxrcAk6eiytfavqriMcKT
492,The Best Day,Fearless Platinum Edition,11/11/2008,18,5YbZZ2gYfvW1UvHHF4pVaD,spotify:track:5YbZZ2gYfvW1UvHHF4pVaD
493,Change,Fearless Platinum Edition,11/11/2008,19,0RdcBnAXyH2YZZvcBVu2k6,spotify:track:0RdcBnAXyH2YZZvcBVu2k6
494,Fearless,Fearless,11/11/2008,1,6Eu31gddWw0gOGO506pJYA,spotify:track:6Eu31gddWw0gOGO506pJYA
495,Fifteen,Fearless,11/11/2008,2,4t0OI7XrODjSkAu3bTPmWj,spotify:track:4t0OI7XrODjSkAu3bTPmWj
496,Love Story,Fearless,11/11/2008,3,1vrd6UOGamcKNGnSHJQlSt,spotify:track:1vrd6UOGamcKNGnSHJQlSt
497,Hey Stephen,Fearless,11/11/2008,4,4WXzzCof26KJLTK5kK53dS,spotify:track:4WXzzCof26KJLTK5kK53dS
498,White Horse,Fearless,11/11/2008,5,6wn61Fzx9XMxQmieLpoIhW,spotify:track:6wn61Fzx9XMxQmieLpoIhW
499,You Belong With Me,Fearless,11/11/2008,6,3GCL1PydwsLodcpv0Ll1ch,spotify:track:3GCL1PydwsLodcpv0Ll1ch
500,Breathe,Fearless,11/11/2008,7,49mWEy5MgtNujgT7xU3emT,spotify:track:49mWEy5MgtNujgT7xU3emT
501,Tell Me Why,Fearless,11/11/2008,8,3rnI1UCyGJvUTVvT97VQr5,spotify:track:3rnI1UCyGJvUTVvT97VQr5
502,You're Not Sorry,Fearless,11/11/2008,9,0HmCuN0Z3OX1Qrz43FLOPL,spotify:track:0HmCuN0Z3OX1Qrz43FLOPL
503,The Way I Loved You,Fearless,11/11/2008,10,5P4wWhUYWM0IaVYLuZxdar,spotify:track:5P4wWhUYWM0IaVYLuZxdar
504,Forever & Always,Fearless,11/11/2008,11,47HtKpfzpAt8rQjjXWotFj,spotify:track:47HtKpfzpAt8rQjjXWotFj
505,The Best Day,Fearless,11/11/2008,12,3esA216TyLHEkNiBCeCmcg,spotify:track:3esA216TyLHEkNiBCeCmcg
506,Change,Fearless,11/11/2008,13,1yACRKAwlXWhXXFUSkvzhD,spotify:track:1yACRKAwlXWhXXFUSkvzhD
507,Love Story - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/06/2008,1,4RBKAqJ3qyvvriDG0s9IJ3,spotify:track:4RBKAqJ3qyvvriDG0s9IJ3
508,Fearless - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/06/2008,2,5g7RMU3cV7zXWH244BLe7G,spotify:track:5g7RMU3cV7zXWH244BLe7G
509,Beautiful Eyes - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/06/2008,3,4aBW31cmkA7BLColUsMEeZ,spotify:track:4aBW31cmkA7BLColUsMEeZ
510,Untouchable - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/06/2008,4,4MbHDiHQjhmoVAV75G04Ql,spotify:track:4MbHDiHQjhmoVAV75G04Ql
511,Teardrops On My Guitar - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/06/2008,5,4DjevQhsPWULcondN4mRh5,spotify:track:4DjevQhsPWULcondN4mRh5
512,Picture To Burn - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/06/2008,6,7EvU9pRoJ9Xs7anx0P7tEc,spotify:track:7EvU9pRoJ9Xs7anx0P7tEc
513,Should've Said No - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/06/2008,7,5a9hUL6ZuiagZhazwrtwHF,spotify:track:5a9hUL6ZuiagZhazwrtwHF
514,Change - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,28/06/2008,8,69o9kr9UexjzeZDE8yD8dQ,spotify:track:69o9kr9UexjzeZDE8yD8dQ
515,Tim McGraw,Taylor Swift,24/10/2006,1,0Om9WAB5RS09L80DyOfTNa,spotify:track:0Om9WAB5RS09L80DyOfTNa
516,Picture To Burn,Taylor Swift,24/10/2006,2,32mVHdy0bi1XKgr0ajsBlG,spotify:track:32mVHdy0bi1XKgr0ajsBlG
517,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,24/10/2006,3,7zMcNqs55Mxer82bvZFkpg,spotify:track:7zMcNqs55Mxer82bvZFkpg
518,A Place in this World,Taylor Swift,24/10/2006,4,73OX8GdpOeGzKC6OvGSbsv,spotify:track:73OX8GdpOeGzKC6OvGSbsv
519,Cold As You,Taylor Swift,24/10/2006,5,7an1exwMnfYRcdVQm0yDev,spotify:track:7an1exwMnfYRcdVQm0yDev
520,The Outside,Taylor Swift,24/10/2006,6,2QA3IixpRcKyOdG7XDzRgv,spotify:track:2QA3IixpRcKyOdG7XDzRgv
521,Tied Together with a Smile,Taylor Swift,24/10/2006,7,6K0CJLVXqbGMeJSmJ4ENKK,spotify:track:6K0CJLVXqbGMeJSmJ4ENKK
522,Stay Beautiful,Taylor Swift,24/10/2006,8,2ZoOmCSgj0ypVAmGd1ve4y,spotify:track:2ZoOmCSgj0ypVAmGd1ve4y
523,Should've Said No,Taylor Swift,24/10/2006,9,16MVSD0mGI4RMQT83Qzm69,spotify:track:16MVSD0mGI4RMQT83Qzm69
524,Mary's Song (Oh My My My),Taylor Swift,24/10/2006,10,2QrQCMel6v2JiLxqrg4p2O,spotify:track:2QrQCMel6v2JiLxqrg4p2O
525,Our Song,Taylor Swift,24/10/2006,11,15DeqWWQB4dcEWzJg15VrN,spotify:track:15DeqWWQB4dcEWzJg15VrN
526,I'm Only Me When I'm With You,Taylor Swift,24/10/2006,12,0JIdBrXGSJXS72zjF9ss9u,spotify:track:0JIdBrXGSJXS72zjF9ss9u
527,Invisible,Taylor Swift,24/10/2006,13,5OOd01o2YS1QFwdpVLds3r,spotify:track:5OOd01o2YS1QFwdpVLds3r
528,A Perfectly Good Heart,Taylor Swift,24/10/2006,14,1spLfUJxtyVyiKKTegQ2r4,spotify:track:1spLfUJxtyVyiKKTegQ2r4
529,Teardrops on My Guitar - Pop Version,Taylor Swift,24/10/2006,15,4pJi1rVt9GNegU9kywjg4z,spotify:track:4pJi1rVt9GNegU9kywjg4z
